,IDENTIFIER,GSM1338298,GSM1338302,GSM1338306,GSM1338297,GSM1338301,GSM1338305,GSM1338296,GSM1338300,GSM1338304,GSM1338295,GSM1338299,GSM1338303,GO:Process,GO:Process ID,apoptosis_related
145,ACOT13,1775.72,1530.47,1649.69,1478.24,1567.32,1350.42,2112.68,1900.22,1224.53,2320.91,2079.94,1825.48,long-chain fatty-acyl-CoA biosynthetic process///protein homotetramerization,GO:0035338///GO:0051289,False
155,ACP1,1206.3835,1171.2175,1065.0095,1276.1055,1465.0585,1306.7355,2274.725,2218.88,2239.35,3315.96,3313.52,2735.24,peptidyl-tyrosine dephosphorylation,GO:0035335,False
168,ACSL1,354.352,366.49800000000005,401.62,309.91200000000003,319.211,312.944,1516.58,1030.27,1148.22,1771.76,1648.52,1409.12,adiponectin-activated signaling pathway///alpha-linolenic acid metabolic process///fatty acid transport///linoleic acid metabolic process///lipid biosynthetic process///long-chain fatty acid import///long-chain fatty acid metabolic process///long-chain fatty-acyl-CoA biosynthetic process///positive regulation of protein serine/threonine kinase activity///response to drug///response to nutrient///response to oleic acid///response to organic cyclic compound///triglyceride metabolic process///xenobiotic catabolic process,GO:0033211///GO:0036109///GO:0015908///GO:0043651///GO:0008610///GO:0044539///GO:0001676///GO:0035338///GO:0071902///GO:0042493///GO:0007584///GO:0034201///GO:0014070///GO:0006641///GO:0042178,False
169,ACSL3,414.694,351.0343333,477.64599999999996,1180.372333,1024.740667,936.3766667000001,494.87833330000007,427.69366669999994,448.34966669999994,1446.028333,1340.381,1379.514,brain development///fatty acid biosynthetic process///long-chain fatty acid import///long-chain fatty acid metabolic process///long-chain fatty-acyl-CoA biosynthetic process///positive regulation of Golgi to plasma membrane protein transport///positive regulation of phosphatidylcholine biosynthetic process///positive regulation of secretion///response to nutrient///response to organic cyclic compound///very-low-density lipoprotein particle assembly,GO:0007420///GO:0006633///GO:0044539///GO:0001676///GO:0035338///GO:0042998///GO:2001247///GO:0051047///GO:0007584///GO:0014070///GO:0034379,False
180,ACSS2,252.7457,233.053675,240.279325,539.340075,539.73325,333.50425,1851.974725,1498.138,1242.175975,2000.10175,1871.04825,1346.595,acetate biosynthetic process///acetyl-CoA biosynthetic process from acetate///ethanol oxidation///lipid biosynthetic process///propionate biosynthetic process,GO:0019413///GO:0019427///GO:0006069///GO:0008610///GO:0019542,False
183,ACTA2,2399.09,1475.75,4110.85,9430.9,10127.2,9528.39,112.13600000000001,104.221,116.29,115.667,110.59100000000001,104.63600000000001,glomerular mesangial cell development///mesenchyme migration///muscle contraction///positive regulation of gene expression///regulation of blood pressure///response to virus///vascular smooth muscle contraction,GO:0072144///GO:0090131///GO:0006936///GO:0010628///GO:0008217///GO:0009615///GO:0014829,False
184,ACTB,17068.266669999997,15659.0,15527.7,18736.5,18762.466669999998,18661.43333,14751.066669999998,16141.7,13069.23333,15150.966669999998,13589.4,13318.52,"ATP-dependent chromatin remodeling///Fc-gamma receptor signaling pathway involved in phagocytosis///cell junction assembly///cytoskeleton organization///ephrin receptor signaling pathway///movement of cell or subcellular component///platelet aggregation///positive regulation of gene expression, epigenetic///retina homeostasis///substantia nigra development///vascular endothelial growth factor receptor signaling pathway",GO:0043044///GO:0038096///GO:0034329///GO:0007010///GO:0048013///GO:0006928///GO:0070527///GO:0045815///GO:0001895///GO:0021762///GO:0048010,False
187,ACTG1,13739.215,14342.135,13401.015,15977.0,17024.15,15362.65,13774.09,14088.005,13681.24,13622.195,12514.875,12047.315,Fc-gamma receptor signaling pathway involved in phagocytosis///cell junction assembly///ephrin receptor signaling pathway///movement of cell or subcellular component///platelet aggregation///retina homeostasis///sarcomere organization///vascular endothelial growth factor receptor signaling pathway,GO:0038096///GO:0034329///GO:0048013///GO:0006928///GO:0070527///GO:0001895///GO:0045214///GO:0048010,False
189,ACTL6A,3172.605,2975.24,2950.055,2227.735,2399.81,2779.275,1805.92,1816.825,1900.255,1336.63,1573.62,1533.48,"ATP-dependent chromatin remodeling///DNA recombination///DNA repair///chromatin remodeling///chromatin remodeling///histone H2A acetylation///histone H4 acetylation///neural retina development///positive regulation of protein targeting to mitochondrion///regulation of growth///regulation of mitophagy///regulation of transcription from RNA polymerase II promoter///signal transduction///spinal cord development///transcription, DNA-templated",GO:0043044///GO:0006310///GO:0006281///GO:0006338///GO:0006338///GO:0043968///GO:0043967///GO:0003407///GO:1903955///GO:0040008///GO:1903146///GO:0006357///GO:0007165///GO:0021510///GO:0006351,False
194,ACTN1,2756.2,2034.28,2079.17,2160.8,2136.56,2130.4,3624.79,3430.7,2761.89,3382.72,3438.11,2648.35,actin crosslink formation///actin filament bundle assembly///actin filament network formation///actin filament organization///focal adhesion assembly///negative regulation of cellular component movement///NOT platelet activation///NOT platelet aggregation///platelet degranulation///platelet formation///platelet morphogenesis///regulation of apoptotic process///regulation of nucleic acid-templated transcription,GO:0051764///GO:0051017///GO:0051639///GO:0007015///GO:0048041///GO:0051271///NOT GO:0030168///NOT GO:0070527///GO:0002576///GO:0030220///GO:0036344///GO:0042981///GO:1903506,True
197,ACTN4,883.007,1073.73,1096.45,1602.96,1449.56,1606.76,936.915,1163.78,1132.85,1168.35,1452.49,1343.44,actin filament bundle assembly///bicellular tight junction assembly///negative regulation of cellular component movement///negative regulation of substrate adhesion-dependent cell spreading///peroxisome proliferator activated receptor signaling pathway///platelet degranulation///positive regulation of NIK/NF-kappaB signaling///positive regulation of cell migration///positive regulation of cellular component movement///positive regulation of cellular component movement///positive regulation of pinocytosis///positive regulation of sodium:proton antiporter activity///protein localization to bicellular tight junction///protein transport///regulation of apoptotic process///regulation of nucleic acid-templated transcription///response to hypoxia///retinoic acid receptor signaling pathway///vesicle transport along actin filament,GO:0051017///GO:0070830///GO:0051271///GO:1900025///GO:0035357///GO:0002576///GO:1901224///GO:0030335///GO:0051272///GO:0051272///GO:0048549///GO:0032417///GO:1902396///GO:0015031///GO:0042981///GO:1903506///GO:0001666///GO:0048384///GO:0030050,True
201,ACTR2,2956.98,3480.92,3309.22,3038.4,3744.73,3159.57,3698.34,3852.94,3420.88,3872.41,4202.75,3802.67,Arp2/3 complex-mediated actin nucleation///Fc-gamma receptor signaling pathway involved in phagocytosis///asymmetric cell division///cilium assembly///cytosolic transport///ephrin receptor signaling pathway///establishment or maintenance of cell polarity///meiotic chromosome movement towards spindle pole///meiotic cytokinesis///movement of cell or subcellular component///spindle localization,GO:0034314///GO:0038096///GO:0008356///GO:0042384///GO:0016482///GO:0048013///GO:0007163///GO:0016344///GO:0033206///GO:0006928///GO:0051653,False
202,ACTR3,1243.51,1996.62,2084.63,1639.95,1681.89,1798.17,2158.44,2056.27,3611.27,2238.94,2170.49,2421.5,Arp2/3 complex-mediated actin nucleation///Fc-gamma receptor signaling pathway involved in phagocytosis///asymmetric cell division///cilium morphogenesis///ephrin receptor signaling pathway///establishment or maintenance of cell polarity///meiotic chromosome movement towards spindle pole///meiotic cytokinesis///movement of cell or subcellular component///spindle localization,GO:0034314///GO:0038096///GO:0008356///GO:0060271///GO:0048013///GO:0007163///GO:0016344///GO:0033206///GO:0006928///GO:0051653,False
205,ACTR6,666.285,779.9680000000001,738.592,664.6139999999999,751.0889999999999,677.2230000000001,2856.41,2093.04,2079.17,2023.75,1915.93,1863.59,chromatin remodeling,GO:0006338,False
208,ACVR1,1323.66,1373.52,1324.78,862.427,914.563,912.6030000000001,816.941,620.764,691.044,631.464,616.498,641.265,"BMP signaling pathway///BMP signaling pathway involved in heart development///G1/S transition of mitotic cell cycle///activin receptor signaling pathway///activin receptor signaling pathway///acute inflammatory response///atrial septum primum morphogenesis///atrial septum primum morphogenesis///atrioventricular valve morphogenesis///cardiac muscle cell fate commitment///cellular response to BMP stimulus///cellular response to glucocorticoid stimulus///determination of left/right symmetry///embryonic heart tube morphogenesis///endocardial cushion cell fate commitment///endocardial cushion fusion///endocardial cushion morphogenesis///gastrulation with mouth forming second///germ cell development///in utero embryonic development///mesoderm formation///mitral valve morphogenesis///negative regulation of activin receptor signaling pathway///negative regulation of extrinsic apoptotic signaling pathway///negative regulation of signal transduction///neural crest cell migration///NOT outflow tract septum morphogenesis///pathway-restricted SMAD protein phosphorylation///patterning of blood vessels///peptidyl-threonine phosphorylation///pharyngeal system development///positive regulation of bone mineralization///positive regulation of cell migration///positive regulation of determination of dorsal identity///positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation///positive regulation of osteoblast differentiation///positive regulation of pathway-restricted SMAD protein phosphorylation///positive regulation of pathway-restricted SMAD protein phosphorylation///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///protein phosphorylation///regulation of ossification///signal transduction by protein phosphorylation///smooth muscle cell differentiation///transforming growth factor beta receptor signaling pathway///ventricular septum morphogenesis",GO:0030509///GO:0061312///GO:0000082///GO:0032924///GO:0032924///GO:0002526///GO:0003289///GO:0003289///GO:0003181///GO:0060923///GO:0071773///GO:0071385///GO:0007368///GO:0003143///GO:0061445///GO:0003274///GO:0003203///GO:0001702///GO:0007281///GO:0001701///GO:0001707///GO:0003183///GO:0032926///GO:2001237///GO:0009968///GO:0001755///NOT GO:0003148///GO:0060389///GO:0001569///GO:0018107///GO:0060037///GO:0030501///GO:0030335///GO:2000017///GO:1905007///GO:0045669///GO:0010862///GO:0010862///GO:0045944///GO:0045944///GO:0045944///GO:0045893///GO:0006468///GO:0030278///GO:0023014///GO:0051145///GO:0007179///GO:0060412,True
216,ACYP1,1998.265,1498.4995,1657.1,1040.09,874.6585,976.125,1314.1529999999998,1390.1705,1294.89,753.7895,700.725,861.7185,phosphate-containing compound metabolic process,GO:0006796,False
270,ADAR,739.6293333,625.4318333,710.5096667,1126.918333,1101.220333,1057.401667,724.6083332999999,702.5836667,674.1243333,971.4213332999999,884.2129332999999,1037.042,adenosine to inosine editing///adenosine to inosine editing///adenosine to inosine editing///base conversion or substitution editing///cellular response to virus///defense response to virus///definitive hemopoiesis///erythrocyte differentiation///hematopoietic progenitor cell differentiation///hematopoietic stem cell homeostasis///in utero embryonic development///innate immune response///mRNA processing///miRNA loading onto RISC involved in gene silencing by miRNA///negative regulation of RNA interference///negative regulation of apoptotic process///negative regulation of protein kinase activity by regulation of protein phosphorylation///negative regulation of protein kinase activity by regulation of protein phosphorylation///negative regulation of type I interferon-mediated signaling pathway///negative regulation of viral genome replication///osteoblast differentiation///positive regulation of viral genome replication///positive regulation of viral genome replication///pre-miRNA processing///response to interferon-alpha///response to virus///somatic diversification of immune receptors via somatic mutation///type I interferon signaling pathway,GO:0006382///GO:0006382///GO:0006382///GO:0016553///GO:0098586///GO:0051607///GO:0060216///GO:0030218///GO:0002244///GO:0061484///GO:0001701///GO:0045087///GO:0006397///GO:0035280///GO:1900369///GO:0043066///GO:0044387///GO:0044387///GO:0060339///GO:0045071///GO:0001649///GO:0045070///GO:0045070///GO:0031054///GO:0035455///GO:0009615///GO:0002566///GO:0060337,True
282,ADCY3,995.002,888.926,1110.23,1065.8,1043.37,1143.76,1947.19,1499.76,1638.81,1561.49,1384.89,1390.23,acrosome reaction///activation of adenylate cyclase activity///activation of protein kinase A activity///adenylate cyclase-activating G-protein coupled receptor signaling pathway///adenylate cyclase-activating G-protein coupled receptor signaling pathway///adenylate cyclase-activating G-protein coupled receptor signaling pathway///adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway///adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway///cAMP biosynthetic process///cAMP-mediated signaling///cellular response to forskolin///cellular response to glucagon stimulus///female meiotic division///olfactory learning///renal water homeostasis///sensory perception of smell///signal transduction///single fertilization///sperm motility,GO:0007340///GO:0007190///GO:0034199///GO:0007189///GO:0007189///GO:0007189///GO:0007193///GO:0007193///GO:0006171///GO:0019933///GO:1904322///GO:0071377///GO:0007143///GO:0008355///GO:0003091///GO:0007608///GO:0007165///GO:0007338///GO:0030317,False
290,ADD1,965.3635,793.192,871.6,1201.698,1241.6945,1104.3665,938.0045,988.185,888.915,990.0725,918.995,977.8055,IRE1-mediated unfolded protein response///actin cytoskeleton organization///actin filament bundle assembly///barbed-end actin filament capping///cell morphogenesis///cell volume homeostasis///cell-cell adhesion///erythrocyte differentiation///hemoglobin metabolic process///homeostasis of number of cells within a tissue///in utero embryonic development///multicellular organism growth///positive regulation of protein binding///transmembrane transport,GO:0036498///GO:0030036///GO:0051017///GO:0051016///GO:0000902///GO:0006884///GO:0098609///GO:0030218///GO:0020027///GO:0048873///GO:0001701///GO:0035264///GO:0032092///GO:0055085,False
308,ADGRG1,236.579,255.08456669999998,211.71466669999998,298.1396,283.7983333,412.9033333,2548.0966670000003,2355.7729999999997,2182.0456670000003,2369.736,2262.846333,1923.6786670000001,G-protein coupled receptor signaling pathway///Rho protein signal transduction///angiogenesis///brain development///cell adhesion///cell migration///cell surface receptor signaling pathway///cell-cell signaling///cerebral cortex radial glia guided migration///cerebral cortex regionalization///layer formation in cerebral cortex///negative regulation of cell proliferation///negative regulation of neuron migration///positive regulation of Rho protein signal transduction///positive regulation of cell adhesion///positive regulation of neural precursor cell proliferation///protein kinase C signaling///vascular endothelial growth factor production,GO:0007186///GO:0007266///GO:0001525///GO:0007420///GO:0007155///GO:0016477///GO:0007166///GO:0007267///GO:0021801///GO:0021796///GO:0021819///GO:0008285///GO:2001223///GO:0035025///GO:0045785///GO:2000179///GO:0070528///GO:0010573,False
316,ADGRL2,1494.65,1393.99,1566.51,1636.85,1676.27,1710.75,1276.5,1281.25,978.23,1138.21,1089.57,987.533,G-protein coupled receptor signaling pathway///cell surface receptor signaling pathway,GO:0007186///GO:0007166,False
335,ADM,2906.14,2696.17,2485.39,740.83,1030.27,885.768,2344.49,2798.65,2474.67,2169.13,2047.06,1736.7,G-protein coupled receptor internalization///aging///androgen metabolic process///antibacterial humoral response///NOT antifungal humoral response///blood circulation///branching involved in labyrinthine layer morphogenesis///cAMP biosynthetic process///cAMP-mediated signaling///cell-cell signaling///defense response to Gram-negative bacterium///defense response to Gram-positive bacterium///developmental growth///female pregnancy///heart development///hormone secretion///negative regulation of cell proliferation///negative regulation of vascular permeability///negative regulation of vasoconstriction///neural tube closure///neuron projection regeneration///odontogenesis of dentin-containing tooth///organ regeneration///positive regulation of angiogenesis///positive regulation of apoptotic process///positive regulation of cAMP biosynthetic process///positive regulation of cell proliferation///positive regulation of cytosolic calcium ion concentration///positive regulation of heart rate///positive regulation of vasculogenesis///positive regulation of vasodilation///progesterone biosynthetic process///receptor internalization///regulation of the force of heart contraction///response to cold///response to glucocorticoid///response to hypoxia///response to insulin///response to lipopolysaccharide///response to starvation///response to wounding///NOT response to yeast///signal transduction///spongiotrophoblast layer development///vascular smooth muscle cell development///vasculogenesis,GO:0002031///GO:0007568///GO:0008209///GO:0019731///NOT GO:0019732///GO:0008015///GO:0060670///GO:0006171///GO:0019933///GO:0007267///GO:0050829///GO:0050830///GO:0048589///GO:0007565///GO:0007507///GO:0046879///GO:0008285///GO:0043116///GO:0045906///GO:0001843///GO:0031102///GO:0042475///GO:0031100///GO:0045766///GO:0043065///GO:0030819///GO:0008284///GO:0007204///GO:0010460///GO:2001214///GO:0045909///GO:0006701///GO:0031623///GO:0002026///GO:0009409///GO:0051384///GO:0001666///GO:0032868///GO:0032496///GO:0042594///GO:0009611///NOT GO:0001878///GO:0007165///GO:0060712///GO:0097084///GO:0001570,True
341,ADORA2B,1039.31,1070.16,965.617,1543.36,1280.36,1402.33,669.429,572.538,614.262,700.533,719.072,765.1310000000001,G-protein coupled receptor signaling pathway///JNK cascade///activation of MAPK activity///activation of adenylate cyclase activity///adenosine receptor signaling pathway///adenylate cyclase-activating G-protein coupled receptor signaling pathway///cellular defense response///cellular protein metabolic process///cellular response to extracellular stimulus///excretion///positive regulation of chemokine production///positive regulation of chronic inflammatory response to non-antigenic stimulus///positive regulation of guanylate cyclase activity///positive regulation of interleukin-6 production///positive regulation of mast cell degranulation///positive regulation of vascular endothelial growth factor production///relaxation of vascular smooth muscle,GO:0007186///GO:0007254///GO:0000187///GO:0007190///GO:0001973///GO:0007189///GO:0006968///GO:0044267///GO:0031668///GO:0007588///GO:0032722///GO:0002882///GO:0031284///GO:0032755///GO:0043306///GO:0010575///GO:0060087,False
346,ADPRHL2,707.096,673.681,809.071,656.393,755.045,654.665,1658.55,1924.8,1495.95,1279.14,1204.65,1168.35,cellular response to superoxide,GO:0071451,False
356,ADRM1,1326.5015,1802.2855,1439.5805,1322.5155,1329.4279999999999,1623.078,1537.727,1875.8929999999998,1515.5535,1053.9595,1079.618,1161.7025,positive regulation of endopeptidase activity///proteasome assembly///transcription elongation from RNA polymerase II promoter,GO:0010950///GO:0043248///GO:0006368,False
357,ADSL,2875.54,2713.04,2885.6,2682.32,2764.1,3045.49,2297.29,2097.87,2126.32,2389.98,2393.66,2852.9,'de novo' AMP biosynthetic process///'de novo' IMP biosynthetic process///AMP biosynthetic process///protein tetramerization///purine nucleotide biosynthetic process///purine ribonucleoside monophosphate biosynthetic process,GO:0044208///GO:0006189///GO:0006167///GO:0051262///GO:0006164///GO:0009168,False
358,ADSS,693.33,663.8335,659.0315,663.3105,657.2565,631.862,1364.1615,1437.42,1288.25,1400.8585,1355.7839999999999,1544.985,'de novo' AMP biosynthetic process///'de novo' AMP biosynthetic process///AMP biosynthetic process///AMP biosynthetic process///IMP metabolic process///aspartate metabolic process///cellular response to electrical stimulus///immune system process///purine ribonucleoside monophosphate biosynthetic process///response to ammonium ion///response to purine-containing compound,GO:0044208///GO:0044208///GO:0006167///GO:0006167///GO:0046040///GO:0006531///GO:0071257///GO:0002376///GO:0009168///GO:0060359///GO:0014074,False
370,AFG3L2,1085.51,935.4119999999999,1168.78,1227.43,1180.87,1147.11,2044.0,2100.93,1776.3,2199.7,2350.83,2125.24,axonogenesis///cristae formation///mitochondrial fusion///mitochondrial protein processing///muscle fiber development///myelination///nerve development///neuromuscular junction development///protein complex assembly///protein import into mitochondrial intermembrane space///regulation of multicellular organism growth///righting reflex,GO:0007409///GO:0042407///GO:0008053///GO:0034982///GO:0048747///GO:0042552///GO:0021675///GO:0007528///GO:0006461///GO:0045041///GO:0040014///GO:0060013,False
397,AGO2,1187.2,881.576,953.105,871.3389999999999,982.336,977.936,861.972,945.1519999999999,849.3539999999999,1026.56,939.993,865.029,"RNA phosphodiester bond hydrolysis, endonucleolytic///RNA secondary structure unwinding///RNA secondary structure unwinding///Wnt signaling pathway, calcium modulating pathway///gene silencing by RNA///gene silencing by RNA///mRNA cleavage involved in gene silencing by miRNA///mRNA cleavage involved in gene silencing by miRNA///mRNA cleavage involved in gene silencing by siRNA///mRNA cleavage involved in gene silencing by siRNA///miRNA loading onto RISC involved in gene silencing by miRNA///miRNA mediated inhibition of translation///miRNA mediated inhibition of translation///miRNA metabolic process///negative regulation of translational initiation///phosphatidylinositol-mediated signaling///positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay///positive regulation of nuclear-transcribed mRNA poly(A) tail shortening///positive regulation of transcription from RNA polymerase II promoter///post-embryonic development///posttranscriptional gene silencing by RNA///pre-miRNA processing///production of miRNAs involved in gene silencing by miRNA///siRNA loading onto RISC involved in RNA interference///siRNA loading onto RISC involved in RNA interference///transcription, DNA-templated///translation///translational initiation",GO:0090502///GO:0010501///GO:0010501///GO:0007223///GO:0031047///GO:0031047///GO:0035279///GO:0035279///GO:0090625///GO:0090625///GO:0035280///GO:0035278///GO:0035278///GO:0010586///GO:0045947///GO:0048015///GO:1900153///GO:0060213///GO:0045944///GO:0009791///GO:0035194///GO:0031054///GO:0035196///GO:0035087///GO:0035087///GO:0006351///GO:0006412///GO:0006413,False
418,AHCY,3259.83,4041.65,3447.49,2617.16,2852.9,3270.79,1309.03,1438.62,1344.31,981.4060000000001,1107.03,1219.32,S-adenosylhomocysteine catabolic process///S-adenosylmethionine cycle///chronic inflammatory response to antigenic stimulus///circadian sleep/wake cycle///homocysteine biosynthetic process///methylation///one-carbon metabolic process///response to hypoxia///response to nutrient///sulfur amino acid metabolic process,GO:0019510///GO:0033353///GO:0002439///GO:0042745///GO:0071268///GO:0032259///GO:0006730///GO:0001666///GO:0007584///GO:0000096,False
419,AHCYL1,1017.87,1212.29,969.137,1305.31,1443.1,1208.98,2744.12,1934.74,1696.56,3621.49,2768.75,2170.49,S-adenosylmethionine cycle///angiotensin-activated signaling pathway///biological_process///epithelial fluid transport///mRNA polyadenylation///one-carbon metabolic process///positive regulation of sodium ion transport///protein export from nucleus///regulation of anion transport///regulation of cardiac conduction///regulation of ion transmembrane transporter activity///regulation of mRNA 3'-end processing///response to calcium ion,GO:0033353///GO:0038166///GO:0008150///GO:0042045///GO:0006378///GO:0006730///GO:0010765///GO:0006611///GO:0044070///GO:1903779///GO:0032412///GO:0031440///GO:0051592,False
424,AHR,1793.464,1493.3865,1870.5605,2087.0860000000002,1808.9489999999998,1712.0739999999998,1939.9115,1882.481,1805.9245,2020.02,1860.8229999999999,2159.116,"apoptotic process///blood vessel development///cell cycle///cellular response to glucocorticoid stimulus///circadian regulation of gene expression///intracellular receptor signaling pathway///negative regulation of transcription, DNA-templated///ovarian follicle development///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///regulation of B cell proliferation///regulation of gene expression///regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///response to estradiol///response to toxic substance///response to xenobiotic stimulus///transcription from RNA polymerase II promoter///xenobiotic metabolic process",GO:0006915///GO:0001568///GO:0007049///GO:0071385///GO:0032922///GO:0030522///GO:0045892///GO:0001541///GO:0045944///GO:0045893///GO:0030888///GO:0010468///GO:0006357///GO:0006355///GO:0032355///GO:0009636///GO:0009410///GO:0006366///GO:0006805,True
426,AHSA1,928.6439999999999,859.788,778.9169999999999,773.563,687.548,971.4989999999999,985.672,1107.57,838.73,844.4680000000001,710.17,1065.8,cell-cell adhesion///positive regulation of ATPase activity///response to stress,GO:0098609///GO:0032781///GO:0006950,False
432,AIDA,1975.33,1981.46,1911.38,2512.84,2540.3,2530.58,1800.79,1999.69,2196.42,2223.0,1911.38,2706.32,determination of ventral identity///dorsal/ventral pattern formation///negative regulation of JNK cascade///negative regulation of JUN kinase activity///regulation of protein homodimerization activity,GO:0048264///GO:0009953///GO:0046329///GO:0043508///GO:0043496,False
440,AIMP2,4095.77,3068.11,4028.7,3649.49,3594.12,3470.96,5895.82,5776.65,5201.02,5014.63,4975.5,4835.91,Type II pneumocyte differentiation///apoptotic process///negative regulation of cell proliferation///positive regulation of neuron death///positive regulation of protein ubiquitination///tRNA aminoacylation for protein translation,GO:0060510///GO:0006915///GO:0008285///GO:1901216///GO:0031398///GO:0006418,True
